converted from lammps dump file
 
 46656 atoms
 
1 atom types
 
         -0.2154440000          50.6907000000  xlo xhi
         -0.2154440000          50.6907000000  ylo yhi
         -0.2154440000          50.6907000000  zlo zhi
 
  Masses
 
  1 12.0107
 
  Atoms
 
414 1 37.2886 22.8333 44.5013
415 1 3.1128 24.344 37.6297
416 1 14.9543 32.6918 44.3918
417 1 19.9163 29.3062 45.6627
418 1 28.7789 24.5765 42.9336
419 1 33.9182 29.5151 38.8791
420 1 43.7493 33.0722 40.4503
421 1 2.43769 41.6171 40.866
422 1 6.81647 39.9721 43.3225
423 1 14.4224 36.766 47.8712
424 1 27.4133 37.1484 42.1144
425 1 36.643 32.2585 45.989
426 1 44.1767 31.4985 44.162
427 1 6.67065 45.8881 43.7949
428 1 7.89043 47.3498 43.3049
429 1 17.9159 41.9877 43.761
430 1 26.443 43.6902 44.5354
431 1 34.1159 49.9315 46.485
432 1 40.359 45.7687 43.6507
433 1 1.33731 6.32262 6.39238
434 1 9.19638 6.25611 8.46213
435 1 22.2429 3.20551 8.53813
436 1 30.2828 0.947195 8.16497
437 1 39.9985 3.11145 5.80762
438 1 48.7729 2.16578 10.0123
439 1 49.3929 10.976 6.40894
440 1 11.2763 9.52556 4.20557
441 1 18.774 9.66844 5.91157
442 1 31.617 8.65734 4.65868
443 1 40.6727 7.84871 7.04719
444 1 47.2032 14.2419 10.1532
445 1 1.32066 16.473 10.1867
446 1 13.6435 15.9023 9.8865
447 1 27.8689 19.0779 6.53012
448 1 33.6086 17.1212 5.01925
449 1 38.5055 17.1479 7.80649
450 1 48.1848 20.5802 2.99208
451 1 4.45748 27.548 7.7628
452 1 8.85287 23.52 11.1614
453 1 22.169 26.0829 4.40419
454 1 30.4174 26.1601 12.2368
455 1 41.3213 31.9318 8.36305
456 1 45.1374 20.1945 4.41599
457 1 3.10707 39.9795 8.81763
458 1 12.784 38.081 10.2589
459 1 15.3234 37.0442 8.93078
460 1 28.1369 34.5122 2.70497
461 1 38.8224 31.4122 7.35908
462 1 46.6435 33.0988 5.25942
463 1 3.11674 40.8765 7.07915
464 1 13.9839 43.1767 6.69557
465 1 20.463 43.5817 12.0472
466 1 23.1881 43.0789 10.8893
467 1 40.3684 47.7409 5.87954
468 1 46.8002 46.5041 5.2224
469 1 7.60636 0.886518 18.1026
470 1 12.011 48.93 13.1373
471 1 17.2774 1.87909 14.4102
472 1 28.8403 6.70112 14.2252
473 1 42.5688 3.73683 10.0472
474 1 49.4228 1.76662 17.0331
475 1 3.91217 11.5875 16.0432
476 1 16.7724 10.0455 11.4844
477 1 22.9597 12.1449 15.2293
478 1 33.5741 15.2471 13.8683
479 1 40.6917 14.1356 17.5409
480 1 49.3906 8.00809 14.2883
481 1 11.1606 16.6731 12.6346
482 1 14.012 19.0343 14.6638
483 1 23.4085 21.8633 14.8108
484 1 30.2958 18.3946 16.7911
485 1 42.2369 19.2526 10.5239
486 1 49.9376 17.4628 17.647
